! version = 0.11.1
! unit = m
! diameter = False

# Internal geometry of the Besson trumpet E0925 from the "Musée de la Musique - Philharmonie de Paris"
# obtained from tomography, performed by Elsa Lambert for C2RMF lab. 
# More information on this instrument is available here:
# https://inria.hal.science/hal-04352706

#        x	         r
   0.00859	   0.00299
   0.00863	   0.00299
   0.00866	   0.00296
   0.00870	   0.00295
   0.00873	   0.00293
   0.00876	   0.00290
   0.00880	   0.00294
   0.00883	   0.00292
   0.00886	   0.00292
   0.00890	   0.00291
   0.00893	   0.00291
   0.00897	   0.00290
   0.00900	   0.00289
   0.00903	   0.00288
   0.00907	   0.00287
   0.00910	   0.00285
   0.00913	   0.00285
   0.00917	   0.00284
   0.00920	   0.00284
   0.00923	   0.00282
   0.00927	   0.00281
   0.00930	   0.00280
   0.00934	   0.00279
   0.00937	   0.00278
   0.00940	   0.00276
   0.00944	   0.00276
   0.00947	   0.00276
   0.00950	   0.00275
   0.00954	   0.00274
   0.00957	   0.00273
   0.00961	   0.00273
   0.00964	   0.00270
   0.00967	   0.00269
   0.00971	   0.00268
   0.00974	   0.00267
   0.00977	   0.00267
   0.00981	   0.00267
   0.00984	   0.00264
   0.00988	   0.00264
   0.00991	   0.00263
   0.00994	   0.00262
   0.00998	   0.00260
   0.01001	   0.00259
   0.01004	   0.00259
   0.01008	   0.00258
   0.01011	   0.00257
   0.01014	   0.00255
   0.01018	   0.00254
   0.01021	   0.00253
   0.01025	   0.00253
   0.01028	   0.00252
   0.01031	   0.00252
   0.01035	   0.00250
   0.01038	   0.00249
   0.01042	   0.00248
   0.01045	   0.00247
   0.01048	   0.00246
   0.01052	   0.00246
   0.01055	   0.00247
   0.01058	   0.00245
   0.01062	   0.00245
   0.01065	   0.00245
   0.01068	   0.00245
   0.01072	   0.00244
   0.01075	   0.00245
   0.01078	   0.00244
   0.01082	   0.00244
   0.01085	   0.00242
   0.01089	   0.00239
   0.01092	   0.00241
   0.01095	   0.00244
   0.01099	   0.00244
   0.01102	   0.00244
   0.01106	   0.00244
   0.01109	   0.00244
   0.01112	   0.00244
   0.01116	   0.00244
   0.01119	   0.00244
   0.01122	   0.00244
   0.01126	   0.00244
   0.01129	   0.00244
   0.01132	   0.00244
   0.01136	   0.00244
   0.01139	   0.00244
   0.01143	   0.00243
   0.01146	   0.00243
