! version = 0.11.1
! unit = m
! diameter = False

# Internal geometry of the Besson trumpet E0925 from the "Musée de la Musique - Philharmonie de Paris"
# obtained by acoustic optimization by Tobias Van Baarsel from tomography, performed by Elsa Lambert for C2RMF lab, and 
# acoustic measurements performed by Marguerite Jossic. 
# More information on this instrument is available here:
# https://inria.hal.science/hal-04352706
# This geometry is here described in "x, r" format.

# 	x		 r
   0.00000	   0.00950
   0.00083	   0.00918
   0.00167	   0.00884
   0.00250	   0.00844
   0.00333	   0.00799
   0.00417	   0.00749
   0.00500	   0.00686
   0.00583	   0.00596
   0.00667	   0.00474
   0.00750	   0.00335
   0.00750	   0.00340
   0.01060	   0.00250
   0.01853	   0.00246
   0.02647	   0.00255
   0.03440	   0.00287
   0.04233	   0.00328
   0.05027	   0.00353
   0.05820	   0.00357
   0.06613	   0.00368
   0.07407	   0.00406
   0.08200	   0.00460
   0.32000	   0.00550
   0.70000	   0.00550
   0.80000	   0.00570
   1.40000	   0.00570
   1.40988	   0.00570
   1.41976	   0.00570
   1.42964	   0.00570
   1.43952	   0.00570
   1.44940	   0.00570
   1.45928	   0.00571
   1.46916	   0.00571
   1.47905	   0.00572
   1.48893	   0.00573
   1.49881	   0.00575
   1.50869	   0.00577
   1.51857	   0.00579
   1.52845	   0.00582
   1.53833	   0.00585
   1.54821	   0.00589
   1.55809	   0.00594
   1.56797	   0.00599
   1.57785	   0.00605
   1.58773	   0.00612
   1.59761	   0.00619
   1.60749	   0.00627
   1.61737	   0.00635
   1.62725	   0.00643
   1.63714	   0.00652
   1.64702	   0.00661
   1.65690	   0.00670
   1.66678	   0.00680
   1.67666	   0.00690
   1.68654	   0.00700
   1.69642	   0.00710
   1.70630	   0.00720
   1.71601	   0.00731
   1.72573	   0.00743
   1.73544	   0.00755
   1.74516	   0.00768
   1.75487	   0.00781
   1.76458	   0.00794
   1.77430	   0.00809
   1.78401	   0.00824
   1.79372	   0.00839
   1.80344	   0.00855
   1.81315	   0.00872
   1.82287	   0.00890
   1.83258	   0.00909
   1.84229	   0.00929
   1.85201	   0.00949
   1.86172	   0.00971
   1.87143	   0.00994
   1.88115	   0.01019
   1.89086	   0.01044
   1.90058	   0.01072
   1.91029	   0.01101
   1.92000	   0.01132
   1.92972	   0.01166
   1.93943	   0.01202
   1.94914	   0.01240
   1.95886	   0.01282
   1.96857	   0.01327
   1.97829	   0.01376
   1.98800	   0.01430
   1.99770	   0.01527
   2.00740	   0.01641
   2.01710	   0.01778
   2.02680	   0.01945
   2.03650	   0.02155
   2.04620	   0.02428
   2.05590	   0.02801
   2.06560	   0.03345
   2.07530	   0.04232
   2.08500	   0.06000
